# LK8000 NEDERLANDS MESSAGES - NED_MSG.TXT
# MASTER UPDATED:  121005
# Version: February 2013
# Retranslated by Senne Verpoorten
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# ATTENTION> Max number of tokens is defined in LKLanguage as MAX_MESSAGES
#
# If you add messages, as a developer, do not recycle numbers, because translations assume
# that a nonexisting token should be replaced by the english original.
# But if a old token was translated, it will still appear like that, wrong!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT ON GITHUB

_@M1_ " Diff"
_@M758_ "UTC-verschil "
_@M759_ "Kan poortinstelling nier veranderen"
_@M760_ "Kan seriële poorttimers niet instellen"
_@M761_ "Kan RX-signaal niet starten op poort"
_@M762_ "Kan poort niet openen"
_@M763_ "Geen kader, geen eenheden"
_@M764_ "Geen kader, met eenheden"
_@M765_ "Onbekend"
_@M766_ "Gebruik GPS-tijd "
_@M767_ "Gebruik baro.hoogte"
_@M768_ "Gebruik MacCready"
_@M769_ "Gebruik gem.efficiëntie"
_@M770_ "Gebruik baro.hoogte "
_@M771_ "Gebruik zwarte omlijning*"
_@M772_ "V ber"
_@M773_ "V over"
_@M774_ "V rough air "
_@M775_ "Virtueel keerpunt"
_@M776_ "Geldige finish"
_@M777_ "Geldige start"
_@M778_ "Landbaar wit"
_@M779_ "Variabel"
_@M780_ "Vario zwart"
_@M781_ "Vario groen-rood"
_@M782_ "Vario regenboog"
_@M783_ "Vario rood-blauw"
_@M784_ "Vario"
_@M785_ "Variometerbalk "
_@M786_ "Zeer hoog"
# REMOVED after v2.3
_@M787_ "Virtuele knoppen "
_@M788_ "Volume "
_@M789_ "Waarschw."
_@M790_ "Waarschuwingstijd*"
_@M791_ "Waarschuwing"
_@M792_ "Waarschuwingen "
_@M793_ "Labels voor water "
_@M794_ "Golf"
_@M795_ "Keerpunteditor"
_@M796_ "Keerpuntinfo"
_@M797_ "Keerpuntverwerking"
_@M798_ "Keerpunt UTM-editor"
_@M799_ "Keerpuntnotities "
_@M800_ "Keerpunt"
_@M801_ "Finish\nkeerpunt"
_@M802_ "Volgende\nkeerpunt"
_@M803_ "Vorige\nkeerpunt"
_@M804_ "Start\nkeerpunt"
_@M805_ "Keerpuntbestand verwerkfout"
_@M806_ "Keerpunten 1 "
_@M807_ "Keerpunten 2 "
_@M808_ "Keerpuntenlettertype "
_@M809_ "Keerpunten aangepast"
_@M810_ "Keerpunten buiten terrein, opslaan?"
_@M811_ "Keerpunten buiten terrein"
_@M812_ "Weersvoorspelling"
_@M813_ "Weerparameters"
_@M814_ "Vetheid "
_@M815_ "Witte omlijning"
_@M816_ "Wit"
_@M817_ "Is dit de finish?"
_@M818_ "Windinstellingen"
# 819 REMOVED after 2.3
_@M819_ "Windpijl"
_@M820_ "Wind op hoogte"
_@M821_ "Vleugelbelasting "
_@M822_ "Winpilot"
_@M823_ "Werkhoogte"
_@M824_ "Keerp. buiten terrein "
_@M825_ "Geel"
_@M826_ "Ja, alles"
_@M827_ "Ja"
_@M828_ "Jouw code "
_@M829_ "Lang verdwenen "
_@M830_ "Zone "
_@M831_ "Spatie"
_@M832_ "Keerpunt toevoegen"
_@M833_ "Extra"
_@M834_ "Thermiek"
_@M835_ "Kruisvlucht"
_@M836_ "Final Glide"
_@M837_ "Buiten terrein"
_@M838_ "Eerste 8"
_@M839_ "Eerste 10"
_@M840_ "Eerste 12"
_@M841_ "Lettergrootte "
_@M842_ "Grote letters "
_@M843_ "Kleine letters "
_@M850_ "Eerste poort opent over 1 uur"
_@M851_ "Eerste poort opent over 30 minuten"
_@M852_ "10 minuten te gaan"
_@M853_ "5 MINUTEN TE GAAN"
_@M854_ "Klikbaar luchtruim AAN"
_@M855_ "Klikbaar luchtruim UIT"
_@M856_ "Auto zoom AAN"
_@M857_ "Auto zoom UIT"
_@M858_ "Panmodus AAN"
_@M859_ "Panmodus UIT"
_@M860_ "Auto MacCready AAN"
_@M861_ "Auto MacCready UIT"
_@M862_ "Logger AAN"
_@M863_ "Logger UIT"
_@M864_ "NMEA-log AAN"
_@M865_ "NMEA-log UIT"
_@M866_ "Kwaliteit"
_@M867_ "Thermiekhulp AAN"
_@M868_ "Thermiekhulp UIT"
_@M869_ "In luchtruim"
_@M870_ "Stop"
_@M871_ "Nabij luchtruim"
_@M872_ "Gedurende 20s ver uitgezoomd"
_@M873_ "Terug naar normale zoom"
_@M874_ "Klik op het scherm om te beginnen"
_@M875_ "WAARSCHUWING: GPS ZENDT ONGELDIGE DATUM EN MOGELIJK FOUTE TIJD"
_@M876_ "Start logger met declaratie"
_@M877_ "Configuratie opgeslagen"
_@M878_ "Kladblok"
_@M879_ "Sorry, doel is verdwenen"
_@M880_ "UNLOCK huidig doel?"
_@M881_ "Doelselectie"
_@M882_ "DOEL UNLOCKED"
_@M883_ "DOEL VERDWENEN!"
_@M884_ "LOCK dit doel?"
_@M885_ "Instellingen"
_@M886_ "Berek. opdr."
_@M887_ "Windinst."
_@M888_ "Waarschuwingen"
_@M889_ "massa:"
_@M890_ "Nee"
_@M891_ "Verwijder oude opdracht en laad"
_@M892_ "(manueel)"
_@M893_ "(auto)"
_@M894_ "Aan"
_@M895_ "Vergrendel" # force
_@M896_ "Ontgrendel" # unforce
_@M897_ "Auto"
_@M898_ "ALLES UIT"
_@M899_ "ALLES AAN"
_@M900_ "Terreinbestand laden..."
_@M901_ "Terreintegels laden..."
_@M902_ "Topografiebestand laden..."
_@M903_ "Keerpuntenbestand laden..."
_@M904_ "Tactische Vluchtcomputer"
_@M905_ "Thermiek"
_@M906_ "Kruisvlucht"
_@M907_ "Opdracht"
_@M908_ "Aangepast"
_@M909_ "Bocht"
_@M910_ "Doel"
_@M911_ "Zicht"
_@M912_ "[geen bestemming]"			# _@M912_ "[no dest]"
_@M913_ "Experimenteel"
_@M914_ "[geen doel]"
_@M915_ "NIET VOOR IFR-GEBRUIK"
_@M916_ "LET OP: geen landingsmogelijkheden"
_@M917_ "Lat/Lon "
_@M918_ "Lat/Lon"
_@M919_ "LatLon"
_@M920_ "Fout bij laden polairebestand!"
_@M921_ "Aftelling"
_@M922_ "Niet vliegend"
_@M923_ "Fout binnen"
_@M924_ "Fout buiten"
_@M925_ "Geen opdrachtstart"
_@M926_ "In sector, bevestig voortgang via Navigatie 1/3 > Verdergaan ..."
_@M927_ "Wachten op GPS-ontvangst"
_@M928_ "COM-poorten herstarten"
_@M929_ "Wachten op GPS-fix"
_@M930_ "Takeoff"
_@M931_ "Landing"
_@M932_ "Boven Final Glide"
_@M933_ "Onder Final Glide"
_@M934_ "Final Glide door terrein"
_@M935_ "Markeringen verwijderd"
_@M936_ "Wedstrijdklasse"
_@M937_ "Wedstrijdklasse: "
_@M938_ "Wedstrijd-ID"
_@M939_ "Wedstrijd-ID: "
_@M940_ "Opvulling "
_@M941_ "Alleen omtrek"
_@M942_ "Patroon"  
_@M943_ "Semi-transparant"
_@M944_ "Transparantie "
_@M945_ "Omtrek met patroon"
_@M946_ "Omtrek met semi-transparant patroon"

_@M950_ "Transparantie infobalk "
_@M951_ "Kan RX-data niet stoppen!"
_@M952_ "Kan data niet naar de poort versturen!"
_@M953_ "Transparant"
_@M954_ "Vloeiend lettertype "
_@M955_ "ClearType"
_@M956_ "Anti-aliasing"
# Page 1.5 name, keep short:
_@M957_ "Wedstrijd"

# ON/OFF in dialog windows (not Menu)
_@M958_ "Aan"
_@M959_ "Uit"

#
# Paragliding lock/unlock screen feature
#
_@M960_ "Bevestig scherm ontgrendelen"
_@M961_ "Bevestig scherm vergrendelen"
# 962 max 35 characters!
_@M962_ "Scherm is vergrendeld tot takeoff"
# 963 unused since 2.3
_@M963_ "Dubbelklik op het scherm om te ontgrendelen"
_@M964_ "Scherm is ontgrendeld"
#
# Menu buttons, MAX 8 character per line! Keep \n !
_@M965_ "Ontgrndl\nscherm"
_@M966_ "Vergrndl\nscherm"

#
# GPS and COM port warnings
#
_@M970_ " GPS: geen geldige fix "
_@M971_ " GPS: geen COM-poort "
_@M972_ " GPS: geen data-RX "
_@M973_ " Geen GPS "
_@M974_ " GPS niet aangesloten "
_@M975_ " GPS: datafout "


#
# Infoboxes in Description / Tile order. 
# In titles use maximum 7 characters
#
_@M1001_ "Hoogte AMSL (altitude)"
_@M1002_ "Alt"
_@M1003_ "Hoogte AGL"
_@M1004_ "H.AGL"
_@M1005_ "Thermiek laatste 30s"
_@M1006_ "TH.30s"
_@M1007_ "Bearing (koers te gaan)"
_@M1008_ "Brg"
_@M1009_ "Efficiëntie laatste 20 sec"
_@M1010_ "Eff.20s"
_@M1011_ "Efficiëntie sinds laatste bel"
_@M1012_ "Eff.LTh"
_@M1013_ "Grondsnelheid"
_@M1014_ "V.Gnd"
_@M1015_ "Gemiddeld stijgen laatste bel"
_@M1016_ "TL.gem"
_@M1017_ "Hoogtewinst laaste bel"
_@M1018_ "TL.winst"
_@M1019_ "Thermiekduur laatste bel"
_@M1020_ "TL.tijd"
_@M1021_ "MacCready-instelling"
_@M1022_ "MC"
_@M1023_ "Afstand tot volgende keerpunt"
_@M1024_ "AfstVlg"
_@M1025_ "Altitude bij volgende keerpunt"
_@M1026_ "AltVlg"
_@M1027_ "Benodigde hoogte voor volg. keerpunt"
_@M1028_ "AltVlgNod"
_@M1029_ "Volgende keerpunt"
_@M1030_ "Volgende"
_@M1031_ "Altitude bij finish"
_@M1032_ "AltFin"
_@M1033_ "Benodigde hoogte voor opdracht"
_@M1034_ "AltOpdrNod"
_@M1035_ "Gemiddelde opdrachtsnelheid"
_@M1036_ "GemOpdrSnl"
_@M1037_ "Resterende opdrachtafstand"
_@M1038_ "ResOpdrAfst"
_@M1039_ "_Gereserveerd 1"
_@M1040_ "NIETS"
_@M1041_ "Terreinhoogte"
_@M1042_ "Elev"
_@M1043_ "Gemiddeld stijgen huidige bel"
_@M1044_ "TH.gem"
_@M1045_ "Hoogtewinst huidige bel"
_@M1046_ "TH.winst"
_@M1047_ "Track (huidige koers)"
_@M1048_ "Track"
_@M1049_ "Variometer"
_@M1050_ "Vario"
_@M1051_ "Windsnelheid"
_@M1052_ "V.wind"
_@M1053_ "Windrichting"
_@M1054_ "WindRich"
_@M1055_ "AAT-tijd"
_@M1056_ "AAT.Tijd"
_@M1057_ "AAT: Maximale afstand"
_@M1058_ "AAT.Dmax"
_@M1059_ "AAT: Minimale afstand"
_@M1060_ "AAT.Dmin"
_@M1061_ "AAT: Maximale snelheid"
_@M1062_ "AAT.Vmax"
_@M1063_ "AAT: Minimale snelheid"
_@M1064_ "AAT.Vmin"
_@M1065_ "Luchtsnelheid IAS"
_@M1066_ "IAS"
_@M1067_ "Barometeraltitude"
_@M1068_ "Alt.BAR"
_@M1069_ "MacCready-snelheid"
_@M1070_ "V.MC"
_@M1071_ "Percentage stijgen"
_@M1072_ "%.stijg"
_@M1073_ "Vluchtduur"
_@M1074_ "T.vlucht"
_@M1075_ "G-kracht"
_@M1076_ "G"
_@M1077_ "_Gereserveerd 2"
_@M1078_ "Oud nLD"
_@M1079_ "Lokale tijd"
_@M1080_ "Lok.tijd"
_@M1081_ "UTC-tijd"
_@M1082_ "UTC.tijd"
_@M1083_ "Benodigde tijd voor opdracht"
_@M1084_ "Opdr.ETE"
_@M1085_ "Benodigde tijd tot vlg. keerpunt"
_@M1086_ "Vlg.ETE"
_@M1087_ "Te vliegen snelheid (Sollfahrt)"
_@M1088_ "V.Soll"
_@M1089_ "Netto vario"
_@M1090_ "VarNet"
_@M1091_ "Aankomsttijd opdracht"
_@M1092_ "Opdr.ETA"
_@M1093_ "Aankomsttijd vlg. keerpunt"
_@M1094_ "Vlg.ETA"
_@M1095_ "Koersverschil"
_@M1096_ "Naar"
_@M1097_ "Buitenluchttemperatuur" # OUTSIDE AIR TEMPRETURE
_@M1098_ "BuitenTemp"
_@M1099_ "Relatieve luchtvochtigheid" # rELATIVE HUMIDITY
_@M1100_ "RelVocht"
_@M1101_ "Voorspelde temperatuur"
_@M1102_ "TempThuis"
_@M1103_ "AAT: Afstand tot finish"
_@M1104_ "AAT.D.Fin"
_@M1105_ "AAT: Gem. snelheid tot finish"
_@M1106_ "AAT.V.Fin"
_@M1107_ "L/D vario"
_@M1108_ "L/D var"
_@M1109_ "Luchtsnelheid TAS"
_@M1110_ "TAS"
_@M1111_ "Teamcode"
_@M1112_ "TeamCod"
_@M1113_ "Teamkoers"
_@M1114_ "TeamBrg"
_@M1115_ "Teamkoers-verschil"
_@M1116_ "TeamBrgDiff"
_@M1117_ "Teamafstand"
_@M1118_ "TeamAfst"
_@M1119_ "Huidige opdrachtsnelheid"
_@M1120_ "V.OpdrNu"
_@M1121_ "Thuisafstand"
_@M1122_ "ThuisAfst"
_@M1123_ "Opdrachtsnelheid"
_@M1124_ "V.Opdr"
_@M1125_ "AAT: Tijdverschil"
_@M1126_ "AAT.dT"
_@M1127_ "Gemiddelde thermiek over vlucht"
_@M1128_ "TH.tot"
# 1129 and 1130 unused, can be used again
_@M1129_ "Afstandvario"
_@M1130_ "DVario"
_@M1131_ "Batterijpercentage"
_@M1132_ "Accu.%"
_@M1133_ "Benodigde efficiëntie vr opdracht"
_@M1134_ "E.OpdrNod"
_@M1135_ "Benodigde efficiëntie vr Alternatief 1"
_@M1136_ "E.Alt1Nod"
_@M1137_ "Benodigde efficiëntie vr Alternatief 2"
_@M1138_ "E.Alt2Nod""
_@M1139_ "Benodigde efficiëntie vr beste altern.""
_@M1140_ "E.BestAltNod"
_@M1141_ "Hoogte QFE"
_@M1142_ "H.QFE"
_@M1143_ "Gemiddelde efficiëntie"
_@M1144_ "E.Gem"
_@M1145_ "Benodigde efficiëntie vr volgende KP"
_@M1146_ "E.VlgNod"
_@M1147_ "Huidig Flight Level"
_@M1148_ "FL"
_@M1149_ "Afgelegde afstand over opdracht"
_@M1150_ "OpdrAfstAfg"
_@M1151_ "Altitude bij Alternatief 1"
_@M1152_ "AltAlt1"
_@M1153_ "Altitude bij Alternatief 2"
_@M1154_ "AltAlt2"
_@M1155_ "Altitude bij beste alternatief"
_@M1156_ "AltBA"
_@M1157_ "Radiaal vanuit thuis"
_@M1158_ "ThuisRad"
_@M1159_ "Horizontale afstand tot luchtruim"
_@M1160_ "LchtR.H"
_@M1161_ "Voltage externe batterijset"
_@M1162_ "Volt.XSet"
_@M1163_ "Voltage externe batterij 1""
_@M1164_ "Volt.XBat1"
_@M1165_ "Voltage externe batterij 2"
_@M1166_ "Volt.XBat2"
_@M1167_ "Odometer (afgelegde afstand)"
_@M1168_ "Odo"
_@M1169_ "Alt. bij beste alt. (zonder veiligh.)"
_@M1170_ "AltBA.inv"
_@M1171_ "Hgt. AGL bij beste alt. (zonder veiligh.)"
_@M1172_ "HAGL.BA.inv"
_@M1173_ "GPS-altitude"
_@M1174_ "Alt.GPS"
_@M1175_ "Equivalente MacCready-waarde"
_@M1176_ "MC.eq"
_@M1177_ "_Experimeneel1"
_@M1178_ "Exp1"
_@M1179_ "_Experimenteel2"
_@M1180_ "Exp2"
_@M1181_ "Batterijvoltage"
_@M1182_ "Accu.V"

# LK Info pages infobox titles, maximum 7 chars
_@M1183_ "MC.Man"
_@M1184_ "MC.Auto"
_@M1185_ "Wind"
_@M1186_ "eIAS"
_@M1187_ "EffNod"
_@M1188_ "Finish"
_@M1189_ "Var.30s"
_@M1190_ "MC0.Vlg"
_@M1191_ "MC0.Fin"
_@M1192_ "AfstSt"
_@M1193_ "RelHgt"
_@M1194_ "Var"
_@M1195_ "BLOCK"
_@M1196_ "DOLFIJN"
_@M1197_ "Bank"
_@M1198_ ""
_@M1199_ "Sat"
_@M1200_ "Start"


# McCready mode $(MacCreadyMode) in menu macros, use 3-4 chrs maximum!
_@M1201_ "Man"
_@M1202_ "Auto"
# Map label modes $(MapLabelsToggleActionName) in menu macros
_@M1203_ "KPT"
_@M1204_ "TOPO"
# $(VisualGlideToggleName) if extended VisualGlide is enabled
_@M1205_ "Beweegt"

# Startup / Shutdown dialog texts
_@M1206_ "Initialiseren..."
_@M1207_ "Fout: onbekende resolutie!"
_@M1208_ "Fout: geen map: "
_@M1209_ "Controleer de installatie!"
_@M1210_ "PARAGLIDING-MODUS"
_@M1211_ "SIMULATIE"
_@M1212_ "Auto. achtergrondverlichting"
_@M1213_ "Geen auto. achtergrondverlichting"
_@M1214_ "Auto. geluidsniveau"
_@M1215_ "Geen auto. geluidsniveau"
_@M1216_ "Weersvoorspelling opzoeken"
_@M1217_ "Apparaten opstarten..."
_@M1218_ "Scherm initialiseren..."
_@M1219_ "Sluiten, even geduld..."
_@M1220_ "Sluiten, logs opslaan..."
_@M1221_ "Sluiten, profiel opslaan..."
_@M1222_ "Sluiten, opdracht opslaan..."

# Topology options reset msgbox
_@M1223_ "Zoomniveaus zijn hersteld naar standaardwaarden"

# Waypoint filters 1229 no more than 3 chrs!
_@M1224_ "Vliegveld"
_@M1225_ "Landbaar"
_@M1226_ "Keerpunt"
_@M1227_ "Bestand 1"
_@M1228_ "Bestand 2"
_@M1229_ "Bearing"

# TeamCode dialog captions
_@M1230_ "Team Ref.: "
_@M1231_ "Team code: SET REF!"

# Waypoint edit dialog (same or less chars!)
_@M1232_ "Lgr"
_@M1233_ "Lengtegr"
_@M1234_ "Bgr"
_@M1235_ "Brg"

# Waypoint list flags (Home,Airport,Landable,Turnpoint) 1chr!
_@M1236_ "T"
_@M1237_ "V"
_@M1238_ "L"
_@M1239_ "K"

# dlgLKAirspaceWarning - Airspace warning messages
_@M1240_ "Binnenvliegen"
_@M1241_ "Verlaten"
_@M1242_ "Vliegen binnen FLY-zone"
_@M1243_ "Voorspeld verlaten FLY-zone"
_@M1244_ "Bijna verlaten FLY-zone"
_@M1245_ "Verlaten FLY-zone"
_@M1246_ "Voorspeld binnenvliegen FLY-zone"
_@M1247_ "Binnenvliegen FLY-zone"
_@M1248_ "Vliegen buiten FLY-zone"
_@M1249_ "Vliegen buiten NO FLY-zone"
_@M1250_ "Voorspeld binnenvliegen NO FLY-zone"
_@M1251_ "Bijna binnenvliegen van NO FLY-zone"
_@M1252_ "Binnenvliegen NO FLY zone"
_@M1253_ "Vliegen in NO FLY-zone"
_@M1254_ "Verlaten NO FLY-zone"
_@M1255_ "GELE WAARSCHUWING"
_@M1256_ "RODE WAARSCHUWING"
_@M1257_ "Verlaten"
_@M1258_ "Binnenvliegen"
_@M1259_ "Te ver, niet berekend"
_@M1260_ "onder"
_@M1261_ "boven"
_@M1262_ "Bericht"
_@M1263_ "Waarsch.niveau"
_@M1264_ "H.Afst"
_@M1265_ "V.Afst"

# dlgAirspaceDetails - Airspace details
_@M1266_ "AccNiveau"
_@M1267_ "Geel gemarkeerd"
_@M1268_ "Rood gemarkeerd"
_@M1269_ "Uitgeschakeld"
_@M1270_ "FLY-IN"
_@M1271_ "FLY-UIT"
_@M1272_ "Selecteren als FLY zone?"
_@M1273_ "Selecteren als NO-FLY zone?"

# dlgConfig - Airspace warnings
_@M1274_ "Waarsch."
_@M1275_ "Luchtruim waarschuwingsinstellingen"
_@M1276_ "Luchtruim waarschuwingsinstellingen opgeslagen."
_@M1277_ "Herhaal luchtr.waarsch. "
_@M1278_ "Verticale marge "
_@M1279_ "Bericht-timeout "
_@M1280_ "Dit luchtruim inschakelen?"
_@M1281_ "Kaartlabels "
_@M1282_ "INSCHAKELEN"
_@M1283_ "UITSCHAKELEN"
_@M1284_ "Dit luchtruim uitschakelen?"

# new airspace infobox
_@M1285_ "Verticale afstand tot luchtruim"
_@M1286_ "LchtR.V"

# airspace analysis dialog page
_@M1287_ "Koers"
# 1288 UNUSED REMOVED
_@M1288_ "Weergave naar volgende keerpunt"
_@M1289_ "Volgende KP"
_@M1290_ "Weergave naar koers"
_@M1291_ "Nabij LR"
_@M1292_ "Dichtstbijzijnde luchtruim"
_@M1293_ "Sonar"
#1294 REMOVED UNUSED
_@M1294_ "Sonar UIT"
_@M1295_ "Zijaanzicht"


# LK info page headers, try to use the same or less number of chars here,
# or test it with different screen reolutions and landscape/portrait mode too!
_@M1300_ "Afstand"
_@M1301_ "Richting"
_@M1302_ "EffNod"
_@M1303_ "AltAank"
_@M1304_ "Afstand"
_@M1305_ "Richting"
_@M1306_ "EffNod"
_@M1307_ "AltAank"
_@M1308_ "Aank"
_@M1309_ "ALG"
_@M1310_ "HIST"
_@M1311_ "LND"
_@M1312_ "LNDB"
_@M1313_ "APT"
_@M1314_ "APTS"
_@M1315_ "KP"
# ASP for nearest airspaces is M1642

# Reserved waypoint names, comments
_@M1316_ "TAKEOFF"
_@M1317_ "THERMIEKBEL"
_@M1318_ "TEAMGENOOT"
_@M1319_ "DOEL"
_@M1320_ "LAATSTE GOEDE THERMIEKBEL"
_@M1321_ "TEAMGENOOT"
_@M1322_ "FLARM-DOEL"

# Overlay multitarget prefixes, maximum 2chars!
_@M1323_ "V>"
_@M1324_ "B>"
_@M1325_ "1>"
_@M1326_ "2>"
_@M1327_ "H>"
_@M1328_ "L>"
_@M1329_ "M>"
_@M1330_ "F>"

# LK traffic page headers, try to use the same or less number of chars here,
# or test it with different screen reolutions and landscape/portrait mode too!
_@M1331_ "FLARM"
_@M1332_ "Var"
_@M1333_ "Vario"
_@M1334_ "Altitude"

# Mapwindow texts
_@M1335_ " TERREIN?"
_@M1336_ " T?"
_@M1337_ " AutoZm"
_@M1338_ " PAN"
_@M1339_ " iAUX"
_@M1340_ " THER0"
_@M1341_ " NAVI1"
_@M1342_ " ALTI2"
_@M1343_ " STAT3"
_@M1344_ " OPDR4"
_@M1345_ " KPTN5"
_@M1346_ " SYST6"
_@M1347_ " EIGN7"
_@M1348_ " FINI8"
_@M1349_ " EXTR9"
_@M1350_ " Afspelen"
_@M1351_ " Ballast"
# LKUtils
_@M1352_ "BATTERIJNIVEAU"
_@M1353_ "Batterijmanager uit"
_@M1354_ "BATTERIJNIVEAU KRITIEK!"
_@M1355_ "BATTERIJNIVEAU ERG LAAG!"
_@M1356_ "BATTERIJNIVEAU LAAG!"
_@M1357_ "Batterijwaarschuwingen uit"

# Logger task declaration
_@M1400_ "Opdrachtdeclaratie"
_@M1401_ "Declaratiemodus ingeschakeld"
_@M1402_ "Declaratiemodus uitgeschakeld"
_@M1403_ "Declaratie versturen..."
_@M1404_ "Verbinding maken..."
_@M1405_ "Verbinding testen..."
_@M1406_ "Verbinding sluiten..."
_@M1410_ "Onbekende fout"
_@M1411_ "Apparaat niet aangesloten!"
_@M1412_ "Niet genoeg keerpunten!"
_@M1413_ "Te veel keerpunten!"
_@M1414_ "Apparaat reageert niet!"
_@M1415_ "Declaratie niet geaccepteerd!"
_@M1420_ "Fout tijdens declaratie"
_@M1421_ "Opdrachtbeschrijving"
_@M1422_ "Start en finish"

_@M1423_ "Verboden tijdens vlucht!"

#
# Variometer Bar
#
_@M1424_ "Variometerbalk modus"
_@M1425_ "Vario in thermiek en kruisvlucht"
_@M1426_ "Vario in thermiek, netto in kruisvlucht"
_@M1427_ "Vario in thermiek, sollfahrt in kruisvlucht"

#
# Contests
#
_@M1450_ "Wedstrijd"
_@M1451_ "Verander"
_@M1452_ "VRIJE VLUCHT-START gedetecteerd"

#
# Contest infoboxes, full name and abbreviated name for boxes
# We need OLC ahead of full names, to keep ordering in infobox list during configuration
#
# League predicted is not used
#
_@M1455_ "OLC Klassiek: afstand"
_@M1456_ "OLC.afst"
_@M1457_ "OLC FAI-driehoek: afstand"
_@M1458_ "FAI.afst"
_@M1459_ "OLC League: afstand"
_@M1460_ "LEA.afst"
_@M1461_ "OLC FAI 3 KP: afstand"
_@M1462_ "3KP.afst"

_@M1463_ "OLC Klassiek: voorspelde afstand (*)"
_@M1464_ "OLC.afst*"
_@M1465_ "OLC FAI-driehoek: voorspelde afstand (*)"
_@M1466_ "FAI.afst*"
_@M1467_ "OLC League: voorspelde afstand (*)"
_@M1468_ "LEA.afst*"
_@M1469_ "OLC FAI 3 KP: voorspelde afstand (*)"
_@M1470_ "3KP.afst*"

_@M1471_ "OLC Klassiek: snelheid"
_@M1472_ "OLC.snlh"
_@M1473_ "OLC FAI-driehoek: snelheid"
_@M1474_ "FAI.snlh"
_@M1475_ "OLC League: snelheid"
_@M1476_ "LEA.snlh"
_@M1477_ "OLC FAI 3 KP: snelheid"
_@M1478_ "3KP.snlh"

_@M1479_ "OLC Klassiek: voorspelde snelheid (*)"
_@M1480_ "OLC.snlh*"
_@M1481_ "OLC FAI-driehoek: voorspelde snelheid (*)"
_@M1482_ "FAI.snlh*"
_@M1483_ "OLC League: voorspelde snelheid (*)"
_@M1484_ "LEA.snlh*"
_@M1485_ "OLC FAI 3 KP: voorspelde snelheid (*)"
_@M1486_ "3KP.snlh*"

_@M1487_ "OLC Klassiek: score"
_@M1488_ "OLC.score"
_@M1489_ "OLC FAI-driehoek: score"
_@M1490_ "FAI.score"
_@M1491_ "OLC League: score"
_@M1492_ "LEA.score"
_@M1493_ "OLC FAI 3 KP: score"
_@M1494_ "3KP.score"

_@M1495_ "OLC Klassiek: voorspelde score (*)"
_@M1496_ "OLC.score*"
_@M1497_ "OLC FAI-driehoek: voorspelde score (*)"
_@M1498_ "FAI.score*"
_@M1499_ "OLC League: voorspelde score (*)"
_@M1500_ "LEA.score*"
_@M1501_ "OLC FAI 3 KP: voorspelde score (*)"
_@M1502_ "3KP.score*"

_@M1503_ "OLC Plus: score"
_@M1504_ "PLS.score"
_@M1505_ "OLC Plus: voorspelde score (*)"
_@M1506_ "PLS.score*"

_@M1507_ "OLC FAI-driehoek: afstand te gaan"
_@M1508_ "FAI.afstGaan"
_@M1509_ "OLC FAI-driehoek: afstand te gaan %"
_@M1510_ "FAI.afstGaan"
_@M1511_ "B:"
# #############################
# NEW 2.4 messages
# #############################

# Device name for "no device"
_@M1600_ "uitgeschakeld"
# Ex-963, new message for screen unlock
_@M1601_ "Dubbelklik in hoek rechtsonder om te ontgrendelen"

# Config system menu page 
_@M1602_ "Configureer infobalk"
_@M1603_ "Configureer infopagina's"
_@M1604_ "Configureer xxxx"
_@M1605_ "Infobalk"
_@M1606_ "Infopagina's"
_@M1607_ "Infobalk-configuratie opgeslagen"
_@M1608_ "Infopagina's-configuratie opgeslagen"

# Config InfoPages
_@M1610_ "1.1 Kruisvl. "
_@M1611_ "1.2 Thermiek "
_@M1612_ "1.3 Opdracht "
_@M1613_ "1.4 Aangep. "
_@M1614_ "1.5 Wedstrijd "
_@M1615_ "1.6 Bocht "
_@M1616_ "2.1 APTS "
_@M1617_ "2.2 LNDB "
_@M1618_ "2.3 KP "
_@M1619_ "2.4 LUCHTR "
_@M1620_ "3.1 ALG "
_@M1621_ "3.2 HIST "
_@M1622_ "3.3 THER "

# New airspace messages
_@M1630_ "Hoogtemarge "

# Navboxes
_@M1640_ "Optimale flaps"
_@M1641_ "Flaps"

# Header nearest Airspaces
_@M1642_ "LUCHTR"

_@M1643_ "ingeschakeld"

_@M1644_ "Alt. bij aankomst thuis"
_@M1645_ "Alt.Thuis"

# Menu Config 15, Alarms
_@M1646_ "15 Alarm"
_@M1647_ "Max altitude 1 "
_@M1648_ "Max altitude 2 "
_@M1649_ "Max altitude 3 "

# "ALARM x ALTITUDE 1234"   warning message
_@M1650_ "ALARM"
_@M1651_ "ALTITUDE"

# customkey for airspace analysis
_@M1652_ "Luchtruimanalyse (multimap 3)"
_@M1653_ "Schakelen Kaart<>2.4 LUCHTR"

# Airspace details buttons
_@M1654_ "MARKEER"
_@M1655_ "ANALYSE"
